SKU,Nama Barang,SKU GPU
101516, Daging Giling Spesial Grass-Fed 500 gr,101516
101514, Daging Has Domba Bertulang Aus 500 gr,101514
100208, CST Saikoro Meltique Astro 500 gr,100208
101180, Daging Has Paha Sapi 700 gr,101180
101490, Daging Has Paha Sapi Premium 1000 gr,101490
101491, Daging Has Paha Sapi Premium 500 gr,101491
100486, Daging Has Paha Sapi Premium Lean 1000 gr,100486
100903, Daging Has Paha Sapi Premium Lean 500 gr,100903
101512, Daging Iga Domba Aus 500 gr,101512
101193, Daging Iga Kambing 1000 gr,101193
101170, Daging Kerbau CM-01 1000 gr,101170
100678, Daging Kerbau FQ Slice 900 gr,100678
100225, CST Hati Sapi PF 500 gr,100225
101511, Daging Paha Domba Aus 500 gr,101511
101515, Daging Sapi Muda 1000 gr,101515
100843, Daging Semur 1000gr,100843
100904, Daging Semur 500 gr,100904
101513, Daging Shank Domba Aus 500 gr,101513
100417, Daging Shank Sapi 1000 gr,100417
100418, Daging Shank Sapi 500 gr,100418
100544, Daging Sop 1000 gr,100544
101274, Daging Sop Potong 300 gr,101274
101250, Daging Sop Potong 500 gr,101250
101351, Daging Sop Potong Gulai 300 gr,101351
100733, Daging Tenderloin AUS 200 gr,100733
100220, Daging Tulang Sop 1000 gr,100220
100920, Daging Tulang Sop 500 gr,100920
100657, Fat Sapi 1000 gr,100657
100919, Fat Sapi 500 gr,100919
100876, Fat Trim 250 gr,100876
100247, Hati Sapi 1000 gr,100247
100905, Hati Sapi 500 gr,100905
101245, Ikan Cakalang 900 - 1000 gr,101245
101231, Ikan Dory Fillet 250 gr,101231
101395, Ikan Dory Fillet Premium 1000gr,101395
101396, Ikan Dory Fillet Premium Nbl 1000gr,101396
100290, Ikan Dory Fillet Reguler 1000 gr,100290
100739, Ikan Dory Fillet Reguler Nbl 1000 gr,100739
101232, CST Neck Bone Astro 500 gr,101232
100756, Ikan Gindara Fillet 500gr,100756
101389, Ikan Gurame 400 - 500 gr,101389
101243, Ikan Kembung Banjar 450 - 500 gr,101243
101203, Ikan Salmon Fillet 150gr,101203
100742, Ikan Salmon Fillet 200gr,100742
100743, Ikan Salmon Fillet 250gr,100743
100744, Ikan Salmon Fillet 300gr,100744
101244, Ikan Tenggiri Steak 450 - 500 gr,101244
101253, Ikan Tongkol Deho 450 - 500 gr,101253
100757, Ikan Tuna Fillet 500gr,100757
100542, Jantung Sapi 1000 gr,100542
101242, Karubi US DA14 250 gram,101242
100755, Karubi Wagyu MB 8-9 500 gr,100755
100313, Kikil Bone In 500gr,100313
100798, Konro Besar 1000 gr,100798
101272, Konro Besar 500 gr,101272
100799, Konro Kecil 1000 gr,100799
101273, Konro Kecil 500 gr,101273
101489, Kulit Body  Ayam 1000 gr,101489
101034, Kulit Body  Ayam 500 gr,101034
101356, Leg Bone 1000 gr,101356
100875, Lidah Bistik 250gr,100875
101223, Lidah Slice 250 gr,101223
100597, Lidah Slice 500 gr,100597
101171, Lidah Utuh 500 gr,101171
100642, Lips Sapi 1000 gr,100642
100722, Meltique Mess 1000 gr,100722
100846, Meltique Steak Mix Cut 1000 gr,100846
101419, Mixed Paprika Slice 500 gr,101419
101031, Mixed Vegetables 4 Ways 500 gr,101031
100993, Natchick  Ayam Kampung Utuh 700 gr,100993
100992, Natchick  Ayam Kampung Utuh 900 gr,100992
100988, Natchick Telur  Ayam Kampung 6pcs,100988
100543, Neck Bone 1000 gr,100543
100902, Neck Bone 500 gr,100902
100895, Oxtail AUS End Cut 500gr,100895
100894, Oxtail AUS Mix Cut 500gr,100894
100385, Oxtail Lokal 1000 gr,100385
101042, Parting Dada  Ayam 1kg,101042
101043, Parting Paha Atas  Ayam 1kg,101043
101044, Parting Paha Bawah  Ayam 1kg,101044
101045, Parting Sayap  Ayam 1kg,101045
100396, Paru Sapi 1000 gr,100396
100397, Paru Sapi 500 gr,100397
101465, Picanha Steak AUS grade S 130 gr,101465
101466, Picanha Steak AUS grade S 150 gr,101466
101462, Picanha Steak AUS grade S 180 gr,101462
101463, Picanha Steak AUS grade S 200 gr,101463
101464, Picanha Steak AUS grade S 230 gr,101464
101467, Picanha Steak AUS grade S End Cut 150 gr,101467
101468, Picanha Steak AUS grade S End Cut 180 gr,101468
101469, Picanha Steak AUS grade S End Cut 200 gr,101469
101460, Picanha Steak Wagyu Mb 5 Aus 100 gr,101460
101461, Picanha Steak Wagyu Mb 5 Aus 120 gr,101461
101458, Picanha Steak Wagyu Mb 5 Aus 150 gr,101458
101455, Picanha Steak Wagyu Mb 5 Aus 180 gr,101455
101456, Picanha Steak Wagyu Mb 5 Aus 200 gr,101456
101457, Picanha Steak Wagyu Mb 5 Aus 230 gr,101457
101459, Picanha Steak Wagyu Mb 5 Aus 80 gr,101459
101260, Daging Rendang Potong 1 kg,101260
101413, Daging Rendang Potong 250 gr,101413
101261, Daging Rendang Potong 500 gr,101261
101237, Ribeye Aus Steak Da14 150 gr,101237
101238, Ribeye Aus Steak Da14 170 gr,101238
101340, Ribeye Aus Steak Da14 200 gr,101340
101239, Ribeye Aus Steak Da14 250 gr,101239
100554, Ribeye Meltique Steak 1000 gr,100554
100552, Ribeye Meltique Steak 200 gr,100552
100553, Ribeye Meltique Steak 400 gr,100553
101415, Ribeye Prime Aus Steak 180 gr,101415
101061, Ribeye Prime Aus Steak 200 gr,101061
101063, Ribeye Prime Aus Steak 250 gr,101063
101207, Ribeye Prime Aus Steak 350 gr,101207
101062, Ribeye Prime Aus Steak 400 gr,101062
101421, Ribeye Prime Aus Steak Da14 180 gr,101421
101240, Ribeye Prime Aus Steak Da14 200 gr,101240
101241, Ribeye Prime Aus Steak Da14 250 gr,101241
101270, Ribeye Prime Aus Steak End Cut 200 gr,101270
101271, Ribeye Prime Aus Steak End Cut 250 gr,101271
101344, Ribeye Steak AUS 180 gr,101344
100983, Ribeye Steak AUS 200 gr,100983
101345, Ribeye Steak AUS 230 gr,101345
101361, Ribeye Steak AUS 250 gr,101361
100982, Ribeye Steak AUS 400 gr,100982
100015, CST Daging Semur Potong OSV 250 gr,100015
101358, Ribeye Steak AUS End Cut 160 gr,101358
101359, Ribeye Steak AUS End Cut 180 gr,101359
101360, Ribeye Steak AUS End Cut 200 gr,101360
101362, Ribeye Steak AUS End Cut 250 gr,101362
101228, Ribeye US Choice Steak 200 gr,101228
100728, Ribeye US Choice Steak 230 gr,100728
100729, Ribeye US Choice Steak 250 gr,100729
100730, Ribeye US Choice Steak 270 gr,100730
100731, Ribeye US Choice Steak 290 gr,100731
101442, Ribeye US Choice Steak DA21 180 gr,101442
101425, Ribeye US Choice Steak DA21 200 gr,101425
101426, Ribeye US Choice Steak DA21 230 gr,101426
101423, Ribeye US Choice Steak DA21 250 gr,101423
101424, Ribeye US Choice Steak DA21 270 gr,101424
101427, Ribeye US Choice Steak DA21 290 gr,101427
100732, Ribeye US Choice Steak End Cut 100 gr,100732
100752, Ribeye US Choice Steak End Cut 150 gr,100752
